"1,Harvard University"
"101-150,University of Amsterdam"
"101-150,University of Arizona"
"101-150,University of Bern"
"101-150,University of Birmingham"
"101-150,University of California, Santa Cruz"
"101-150,University of Frankfurt"
"101-150,University of Freiburg"
"101-150,University of Goettingen"
"101-150,University of Leeds"
"101-150,University of Liverpool"
"101-150,University of Nottingham"
"101-150,University of Sao Paulo"
"101-150,University of Science and Technology of China"
"101-150,University of Southampton"
"101-150,University of Strasbourg"
"101-150,University of Utah"
"101-150,University of Warwick"
"101-150,University Paris Diderot - Paris "
"101-150,VU University Amsterdam"
"101-150,Weizmann Institute of Science"
"151-200,Catholic University of Louvain"
"151-200,Central South University"
"151-200,Delft University of Technology"
"151-200,Harbin Institute of Technology"
"151-200,Hokkaido University"
"151-200,King Saud University"
"151-200,London School of Economics and Political Science"
"151-200,Nanjing University"
"151-200,National Taiwan University"
"151-200,Osaka University"
"151-200,Queen Mary University of London"
"151-200,Sapienza University of Rome"
"151-200,Sichuan University"
"151-200,Soochow University (China)"
"151-200,Southeast University"
"151-200,Sungkyunkwan University"
"151-200,Tel Aviv University"
"151-200,Texas A&M University"
"151-200,The University of Calgary"
"151-200,The University of Glasgow"
"151-200,Trinity College Dublin"
"151-200,Tufts University"
"151-200,Université libre de Bruxelles (ULB)"
"151-200,University of Barcelona"
"151-200,University of California, Riverside"
"151-200,University of Cologne"
"151-200,University of Electronic Science and Technology of China"
"151-200,University of Exeter"
"151-200,University of Gothenburg"
"151-200,University of Lausanne"
"151-200,University of Lisbon"
"151-200,University of Massachusetts Amherst"
"151-200,University of Massachusetts Medical School - Worcester"
"151-200,University of Milan"
"151-200,University of Missouri - Columbia"
"151-200,University of Montpellier"
"151-200,University of Montreal"
"151-200,University of Muenster"
"151-200,University of Ottawa"
"151-200,University of Paris Descartes (Paris "
"151-200,University of Pisa"
"151-200,University of Rochester"
"151-200,University of Sussex"
"151-200,University of Tuebingen"
"151-200,University of Vienna"
"151-200,University of Virginia"
"151-200,University of Wageningen"
"151-200,University of Waterloo"
"151-200,Wuhan University"
"151-200,Xian Jiaotong University"
"201-300,Aalborg University"
"201-300,Autonomous University of Barcelona"
"201-300,Beihang University"
"201-300,Beijing Normal University"
"201-300,Charles University in Prague"
"201-300,City University of Hong Kong"
"201-300,Claude Bernard University Lyon "
"201-300,Colorado State University"
"201-300,Complutense University of Madrid"
"201-300,Curtin University"
"201-300,Dalhousie University"
"201-300,Dalian University of Technology"
"201-300,Deakin University"
"201-300,Durham University"
"201-300,Florida State University"
"201-300,George Mason University"
"201-300,Iowa State University"
"201-300,James Cook University"
"201-300,Jilin University"
"201-300,Karlsruhe Institute of Technology (KIT)"
"201-300,King Abdullah University of Science and Technology"
"201-300,Korea Advanced Institute of Science and Technology"
"201-300,Korea University"
"201-300,KTH Royal Institute of Technology"
"201-300,Kyushu University"
"201-300,Laval University"
"201-300,London School of Hygiene & Tropical Medicine"
"201-300,Maastricht University"
"201-300,Macquarie University"
"201-300,Medical University of Vienna"
"201-300,Nankai University"
"201-300,National Autonomous University of Mexico"
"201-300,Newcastle University"
"201-300,North Carolina State University - Raleigh"
"201-300,Northeastern University (Boston)"
"201-300,Oregon Health and Science University"
"201-300,Oregon State University"
"201-300,Paul Sabatier University (Toulouse "
"201-300,Polytechnic Institute of Milan"
"201-300,RWTH Aachen University"
"201-300,Shandong University"
"201-300,South China University of Technology"
"201-300,Stony Brook University"
"201-300,The George Washington University"
"201-300,The Hong Kong Polytechnic University"
"201-300,The Hong Kong University of Science and Technology"
"201-300,The University of Auckland"
"201-300,The University of Georgia"
"201-300,The University of Texas Health Science Center at Houston"
"201-300,Tianjin University"
"201-300,Tongji University"
"201-300,TU Dresden"
"201-300,University of Aberdeen"
"201-300,University of Alabama at Birmingham"
"201-300,University of Antwerp"
"201-300,University of Bologna"
"201-300,University of Bordeaux"
"201-300,University of Buenos Aires"
"201-300,University of Cape Town"
"201-300,University of Connecticut"
"201-300,University of Delaware"
"201-300,University of Duesseldorf"
"201-300,University of East Anglia"
"201-300,University of Erlangen-Nuremberg"
"201-300,University of Florence"
"201-300,University of Granada"
"201-300,University of Hamburg"
"201-300,University of Hawaii at Manoa"
"201-300,University of Houston"
"201-300,University of Illinois at Chicago"
"201-300,University of Innsbruck"
"201-300,University of Iowa"
"201-300,University of Kansas"
"201-300,University of Kiel"
"201-300,University of Leipzig"
"201-300,University of Liege"
"201-300,University of Mainz"
"201-300,University of Maryland, Baltimore"
"201-300,University of Miami"
"201-300,University of Nebraska - Lincoln"
"201-300,University of Padua"
"201-300,University of South Florida"
"201-300,University of Tasmania"
"201-300,University of Technology Sydney"
"201-300,University of Tennessee - Knoxville"
"201-300,University of the Witwatersrand"
"201-300,University of Toulouse "
"201-300,University of Tsukuba"
"201-300,University of Turin"
"201-300,University of Ulm"
"201-300,University of Valencia"
"201-300,University of Wollongong"
"201-300,University of Wuerzburg"
"201-300,Virginia Commonwealth University"
"201-300,Virginia Polytechnic Institute and State University"
"201-300,Vrije Universiteit Brussel (VUB)"
"201-300,Western University"
"201-300,Xiamen University"
"201-300,Yeshiva University"
"201-300,Yonsei University"
"301-400,Aalto University"
"301-400,Autonomous University of Madrid"
"301-400,Beijing Institute of Technology"
"301-400,Brandeis University"
"301-400,Cairo University"
"301-400,Capital Medical University"
"301-400,Chalmers University of Technology"
"301-400,China Agricultural University"
"301-400,China Medical University (Taichung)"
"301-400,Chongqing University"
"301-400,Dartmouth College"
"301-400,Drexel University"
"301-400,East China University of Science and Technology"
"301-400,Ecole Normale Superieure - Lyon"
"301-400,Ecole Polytechnique"
"301-400,Eindhoven University of Technology"
"301-400,ESPCI ParisTech"
"301-400,Federal University of Rio de Janeiro"
"301-400,Georgetown University"
"301-400,Griffith University"
"301-400,Hannover Medical School"
"301-400,Hanyang University"
"301-400,Hunan University"
"301-400,Indiana University-Purdue University at Indianapolis"
"301-400,Jagiellonian University"
"301-400,Kansas State University"
"301-400,Keio University"
"301-400,Kyung Hee University"
"301-400,La Trobe University"
"301-400,Lancaster University"
"301-400,Lanzhou University"
"301-400,Linkoping University"
"301-400,Louisiana State University - Baton Rouge"
"301-400,Nanjing University of Science and Technology"
"301-400,National and Kapodistrian University of Athens"
"301-400,National Cheng Kung University"
"301-400,Northwestern Polytechnical University"
"301-400,Paris Dauphine University (Paris "
"301-400,Pompeu Fabra University"
"301-400,Queen's University"
"301-400,Queen's University Belfast"
"301-400,Queensland University of Technology"
"301-400,Rensselaer Polytechnic Institute"
"301-400,RMIT University"
"301-400,Saint Petersburg State University"
"301-400,Shenzhen University"
"301-400,Simon Fraser University"
"301-400,Swedish University of Agricultural Sciences"
"301-400,Swinburne University of Technology"
"301-400,Technical University of Berlin"
"301-400,Temple University"
"301-400,The University of Dundee"
"301-400,The University of New Mexico - Albuquerque"
"301-400,The University of Reading"
"301-400,The University of Texas at Dallas"
"301-400,The University of Texas Health Science Center at San Antonio"
"301-400,Ulsan National Institute of Science and Technology"
"301-400,UNESP"
"301-400,University at Buffalo, the State University of New York"
"301-400,University College Dublin"
"301-400,University of Bergen"
"301-400,University of Bochum"
"301-400,University of Campinas"
"301-400,University of Central Florida"
"301-400,University of Cincinnati"
"301-400,University of Colorado at Denver"
"301-400,University of Duisburg-Essen"
"301-400,University of Guelph"
"301-400,University of Jena"
"301-400,University of Kentucky"
"301-400,University of Leicester"
"301-400,University of Lille"
"301-400,University of Lorraine"
"301-400,University of Malaya"
"301-400,University of Manitoba"
"301-400,University of Naples Federico II"
"301-400,University of Notre Dame"
"301-400,University of Oregon"
"301-400,University of Otago"
"301-400,University of Oulu"
"301-400,University of Pavia"
"301-400,University of Porto"
"301-400,University of Saskatchewan"
"301-400,University of Science and Technology Beijing"
"301-400,University of South Carolina - Columbia"
"301-400,University of Southern Denmark"
"301-400,University of St Andrews"
"301-400,University of Stuttgart"
"301-400,University of Surrey"
"301-400,University of Tartu"
"301-400,University of Tehran"
"301-400,University of Turku"
"301-400,University of Vermont"
"301-400,University of Victoria"
"301-400,University of Western Sydney"
"301-400,University of York"
"301-400,Victoria University of Wellington"
"301-400,Vienna University of Technology"
"301-400,Washington State University"
"301-400,Wuhan University of Technology"
"401-500,Aristotle University of Thessaloniki"
"401-500,Bar-Ilan University"
"401-500,Beijing University of Chemical Technology"
"401-500,Ben-Gurion University of the Negev"
"401-500,Boston College"
"401-500,Brigham Young University"
"401-500,Catholic University of the Sacred Heart"
"401-500,Chiba University"
"401-500,China University of Geosciences (Wuhan)"
"401-500,City University of New York City College"
"401-500,Clemson University"
"401-500,CUNY Graduate School and University Center"
"401-500,Federal University of Minas Gerais"
"401-500,Federal University of Rio Grande do Sul"
"401-500,Flinders University"
"401-500,Florida International University"
"401-500,Fuzhou University"
"401-500,Harbin Engineering University"
"401-500,Huazhong Agricultural University"
"401-500,Indian Institute of Science"
"401-500,Istanbul University"
"401-500,Jiangsu University"
"401-500,Jinan University"
"401-500,King Fahd University of Petroleum & Minerals"
"401-500,Kobe University"
"401-500,Kyungpook National University"
"401-500,Mahidol University"
"401-500,Medical University of Innsbruck"
"401-500,Medical University of South Carolina"
"401-500,MINES ParisTech"
"401-500,Moscow Institute of Physics and Technology"
"401-500,Nanchang University"
"401-500,Nanjing Agricultural University"
"401-500,Nanjing Medical University"
"401-500,NanJing Tech University"
"401-500,Nanjing University of Aeronautics and Astronautics"
"401-500,Nanjing University of Information Science & Technology"
"401-500,New University of Lisbon"
"401-500,Northeastern University (Shenyang)"
"401-500,Novosibirsk State University"
"401-500,Okayama University"
"401-500,Peking Union Medical College"
"401-500,Pohang University of Science and Technology"
"401-500,Polytechnic University of Valencia"
"401-500,Pusan National University"
"401-500,Qingdao University"
"401-500,Saint Louis University"
"401-500,Scuola Normale Superiore - Pisa"
"401-500,Shanghai University"
"401-500,Sharif University of Technology"
"401-500,Southern University of Science and Technology"
"401-500,Stellenbosch University"
"401-500,Stockholm School of Economics"
"401-500,Swansea University"
"401-500,Tehran University of Medical Sciences"
"401-500,The University of Newcastle, Australia"
"401-500,Thomas Jefferson University"
"401-500,Tokyo University of Science"
"401-500,Tulane University"
"401-500,Umea University"
"401-500,University at Albany (State University of New York)"
"401-500,University College Cork"
"401-500,University of Bath"
"401-500,University of Belgrade"
"401-500,University of California, Merced"
"401-500,University of Canterbury"
"401-500,University of Chile"
"401-500,University of Eastern Finland"
"401-500,University of Fribourg"
"401-500,University of Genoa"
"401-500,University of Graz"
"401-500,University of Halle-Wittenberg"
"401-500,University of Iceland"
"401-500,University of Konstanz"
"401-500,University of KwaZulu-Natal"
"401-500,University of Milan - Bicocca"
"401-500,University of Minho"
"401-500,University of Montana - Missoula"
"401-500,University of North Texas"
"401-500,University of Oklahoma - Norman"
"401-500,University of Oviedo"
"401-500,University of Perugia"
"401-500,University of Potsdam"
"401-500,University of Pretoria"
"401-500,University of Seville"
"401-500,University of the Balearic Islands"
"401-500,University of the Basque Country"
"401-500,University of Trento"
"401-500,University of Twente"
"401-500,University of Versailles Saint-Quentin-en-Yvelines"
"401-500,University of Warsaw"
"401-500,University of Wisconsin - Milwaukee"
"401-500,University of Wyoming"
"401-500,University of Zagreb"
"401-500,University of Zaragoza"
"401-500,Utah State University"
"401-500,Wake Forest University"
"401-500,Wayne State University"
"401-500,West Virginia University"
"401-500,Zhengzhou University"
"501-600,Amirkabir University of Technology"
"501-600,Auburn University"
"501-600,Australian Catholic University"
"501-600,Baylor University"
"501-600,Beijing Jiaotong University"
"501-600,Beijing University of Technology"
"501-600,Bielefeld University"
"501-600,Brunel University"
"501-600,Catholic University of Chile"
"501-600,Chang Gung University"
"501-600,Chung-Ang University"
"501-600,COMSATS University Islamabad"
"501-600,Donghua University"
"501-600,East China Normal University"
"501-600,Eotvos Lorand University"
"501-600,Ewha Womans University"
"501-600,Federal University of Parana"
"501-600,Georgia State University"
"501-600,Gyeongsang National University"
"501-600,Hefei University of Technology"
"501-600,Heriot-Watt University"
"501-600,Hiroshima University"
"501-600,Huazhong Normal University"
"501-600,Humanitas University"
"501-600,Indian Institute of Technology Madras"
"501-600,Kent State University"
"501-600,Macau University of Science and Technology"
"501-600,Medical University of Graz"
"501-600,Memorial University of Newfoundland"
"501-600,Mississippi State University"
"501-600,Montana State University"
"501-600,National Chiao Tung University"
"501-600,National Polytechnic Institute"
"501-600,National Tsing Hua University"
"501-600,National University of Defense Technology"
"501-600,National University of Ireland, Galway"
"501-600,National University of Malaysia"
"501-600,National Yang Ming University"
"501-600,Northern Arizona University"
"501-600,Northwest A&F University"
"501-600,Ocean University of China"
"501-600,Oklahoma State University"
"501-600,Palacký University"
"501-600,Plymouth University"
"501-600,Polytechnic University of Madrid"
"501-600,Polytechnic University of Turin"
"501-600,Royal Holloway, University of London"
"501-600,Rush University"
"501-600,Saarland University"
"501-600,San Diego State University"
"501-600,ShanghaiTech University"
"501-600,Southern Medical University"
"501-600,Southern Methodist University"
"501-600,Southwest University"
"501-600,St George's Hospital Medical School"
"501-600,State University of New York Health Science Center at Brooklyn"
"501-600,Tarbiat Modares University"
"501-600,Technical University Darmstadt"
"501-600,Technical University of Braunschweig"
"501-600,Technical University of Dortmund"
"501-600,Texas Tech University"
"501-600,The University of Alabama - Tuscaloosa"
"501-600,The University of Tokushima"
"501-600,Tilburg University"
"501-600,Università Della Svizzera Italiana"
"501-600,Universitat Jaume I"
"501-600,Universiti Teknologi Malaysia"
"501-600,University of Alaska - Fairbanks"
"501-600,University of Arkansas at Fayetteville"
"501-600,University of Bari"
"501-600,University of Bayreuth"
"501-600,University of Bremen"
"501-600,University of Coimbra"
"501-600,University of Essex"
"501-600,University of Ferrara"
"501-600,University of Giessen"
"501-600,University of Hannover"
"501-600,University of Jyvaskyla"
"501-600,University of Kent"
"501-600,University of Ljubljana"
"501-600,University of Maine"
"501-600,University of Marburg"
"501-600,University of Maryland, Baltimore County"
"501-600,University of Oldenburg"
"501-600,University of Regensburg"
"501-600,University of Roma - Tor Vergata"
"501-600,University of Rostock"
"501-600,University of Santiago Compostela"
"501-600,University of Science, Malaysia"
"501-600,University of Siena"
"501-600,University of South Australia"
"501-600,University of Tampere"
"501-600,University of Ulsan"
"501-600,University Rovira i Virgili"
"501-600,Verona University"
"501-600,Vita-Salute San Raffaele University"
"501-600,Waseda University"
"501-600,Yangzhou University"
"501-600,York University"
"501-600,Zhejiang University of Technology"
"601-700,AGH University of Science and Technology"
"601-700,American University of Beirut"
"601-700,Army Medical University"
"601-700,Bangor University"
"601-700,Beijing Forestry University"
"601-700,Brescia University"
"601-700,CentraleSupelec"
"601-700,China University of Geosciences (Beijing)"
"601-700,China University of Mining and Technology - Xuzhou"
"601-700,China University of Petroleum (Huadong)"
"601-700,Chonbuk National University"
"601-700,Chonnam National University"
"601-700,Chulalongkorn University"
"601-700,Chungbuk National University"
"601-700,Chungnam National University"
"601-700,Colorado School of Mines"
"601-700,Federal University of Goiás"
"601-700,Federal University of Santa Catarina"
"601-700,Federal University of Sao Paulo"
"601-700,Ferdowsi University of Mashhad"
"601-700,Graz University of Technology"
"601-700,Grenoble Institute of Technology"
"601-700,Guangzhou Medical University"
"601-700,Hasselt University"
"601-700,Hohai University"
"601-700,Hunan Normal University"
"601-700,Indian Institute of Technology Kanpur"
"601-700,INHA University"
"601-700,International School for Advanced Studies"
"601-700,Jiangnan University"
"601-700,Johannes Kepler University Linz"
"601-700,Kitasato University"
"601-700,Lehigh University"
"601-700,Loyola University Chicago"
"601-700,Masaryk University"
"601-700,Massey University"
"601-700,Medical College of Wisconsin"
"601-700,Missouri University of Science and Technology"
"601-700,Nanjing Normal University"
"601-700,Nanjing University of Posts and Telecommunications"
"601-700,National Central University"
"601-700,National Research Nuclear University MEPhI"
"601-700,National Technical University of Athens"
"601-700,Naval Medical University"
"601-700,Northwest University"
"601-700,North-West University"
"601-700,Norwegian University of Life Sciences"
"601-700,Old Dominion University"
"601-700,Osaka City University"
"601-700,Polytechnic University of Catalonia"
"601-700,Saitama University"
"601-700,Shanxi University"
"601-700,Shinshu University"
"601-700,Southwest Jiaotong University"
"601-700,Syracuse University"
"601-700,The University of Texas at Arlington"
"601-700,The University of Texas at San Antonio"
"601-700,The University of Texas Medical Branch at Galveston"
"601-700,Tianjin Medical University"
"601-700,Tokyo Medical and Dental University"
"601-700,Universidade Federal de Pelotas"
"601-700,University of Auvergne"
"601-700,University of Aveiro"
"601-700,University of Burgundy"
"601-700,University of Calcutta"
"601-700,University of Canberra"
"601-700,University of Catania"
"601-700,University of Cordoba"
"601-700,University of Cyprus"
"601-700,University of Greifswald"
"601-700,University of Haifa"
"601-700,University of Idaho"
"601-700,University of Johannesburg"
"601-700,University of L'Aquila"
"601-700,University of Limerick"
"601-700,University of Louisville"
"601-700,University of Luebeck"
"601-700,University of Macau"
"601-700,University of Magdeburg"
"601-700,University of Nantes"
"601-700,University of Nebraska Medical Center"
"601-700,University of Nevada - Reno"
"601-700,University of New England"
"601-700,University of New Hampshire - Durham"
"601-700,University of Palermo"
"601-700,University of Parma"
"601-700,University of Portsmouth"
"601-700,University of Quebec Montreal"
"601-700,University of Rennes "
"601-700,University of Rhode Island"
"601-700,University of Salamanca"
"601-700,University of Strathclyde"
"601-700,University of Szeged"
"601-700,University of Trieste"
"601-700,University of Tromso"
"601-700,University of Vigo"
"601-700,Vilnius University"
"601-700,Wenzhou Medical University"
"601-700,Xidian University"
"601-700,Yeungnam University"
"701-800,Adam Mickiewicz University"
"701-800,Agroparistech"
"701-800,Ain Shams University"
"701-800,Ajou University"
"701-800,Akdeniz University"
"701-800,Alexandria University"
"701-800,Amherst College"
"701-800,AUT University"
"701-800,Babeș-Bolyai University"
"701-800,Beijing University of Posts and Telecommunications"
"701-800,Bilkent University"
"701-800,Carleton University"
"701-800,Catholic University of Korea"
"701-800,China Medical University (Shenyang)"
"701-800,China University of Petroleum - Beijing"
"701-800,Chongqing Medical University"
"701-800,Copenhagen Business School"
"701-800,Czech Technical University in Prague"
"701-800,Dokuz Eylul University"
"701-800,East Carolina University"
"701-800,Edith Cowan University"
"701-800,Erciyes University"
"701-800,Federal University of Sao Carlos"
"701-800,Federal University of Viçosa"
"701-800,Free University of Bozen-Bolzano"
"701-800,Fujian Agriculture Forestry University"
"701-800,Hacettepe University"
"701-800,Hangzhou Dianzi University"
"701-800,Harbin Medical University"
"701-800,Hong Kong Baptist University"
"701-800,Huaqiao University"
"701-800,Indian Institute of Technology Bombay"
"701-800,Indian Institute of Technology Delhi"
"701-800,Indian Institute of Technology Kharagpur"
"701-800,Juntendo University"
"701-800,Kanazawa University"
"701-800,Kangwon National University"
"701-800,Kaohsiung Medical University"
"701-800,Khalifa University"
"701-800,King Juan Carlos University"
"701-800,Konkuk University"
"701-800,Liverpool John Moores University"
"701-800,Loughborough University"
"701-800,Medical University Warsaw"
"701-800,Michigan Technological University"
"701-800,Middle East Technical University"
"701-800,Military Medical University of the Air Force"
"701-800,Murdoch University"
"701-800,Nagasaki University"
"701-800,National University of La Plata"
"701-800,Ningbo University"
"701-800,North China Electric Power University"
"701-800,Ohio University"
"701-800,Renmin University of China"
"701-800,Second University of Naples"
"701-800,Sejong University"
"701-800,Shaanxi Normal University"
"701-800,Shahid Beheshti University of Medical Sciences"
"701-800,South China Agricultural University"
"701-800,South China Normal University"
"701-800,Stevens Institute of Technology"
"701-800,SUNY Upstate Medical University"
"701-800,Swarthmore College"
"701-800,Taipei Medical University"
"701-800,Taiyuan University of Technology"
"701-800,The Education University of Hong Kong"
"701-800,The Graduate University for Advanced Studies"
"701-800,The Open University"
"701-800,The Royal Veterinary College"
"701-800,The University of Waikato"
"701-800,Tokyo University of Agriculture and Technology"
"701-800,Tuscia University"
"701-800,University of Arkansas for Medical Sciences"
"701-800,University of Brasília"
"701-800,University of Castilla–La Mancha"
"701-800,University of Chemistry and Technology Prague"
"701-800,University of Crete"
"701-800,University of Delhi"
"701-800,University of Hohenheim"
"701-800,University of La Laguna"
"701-800,University of Lleida"
"701-800,University of Luxembourg"
"701-800,University of Maribor"
"701-800,University of Modena and Reggio Emilia"
"701-800,University of Murcia"
"701-800,University of Navarra"
"701-800,University of Nevada-Las Vegas"
"701-800,University of Ontario Institute of Technology"
"701-800,University of Poitiers"
"701-800,University of Regina"
"701-800,University of Salerno"
"701-800,University of Sherbrooke"
"701-800,University of Southern Queensland"
"701-800,University of Split"
"701-800,University of Texas at El Paso"
"701-800,University of Veterinary Medicine Vienna"
"701-800,University Putra Malaysia"
"701-800,Ural Federal University"
"701-800,Yamagata University"
"701-800,Yokohama City University"
"801-900,Aberystwyth University"
"801-900,Anhui Medical University"
"801-900,Ankara University"
"801-900,Babol Noshirvani University of Technology"
"801-900,Bohai University"
"801-900,Budapest University of Technology and Economics"
"801-900,Chemnitz University of Technology"
"801-900,Chiang Mai University"
"801-900,China Pharmaceutical University"
"801-900,College of William and Mary"
"801-900,Comenius University in Bratislava"
"801-900,Concordia University"
"801-900,CUNY Hunter College"
"801-900,Dongguk University"
"801-900,Ehime University"
"801-900,Federal University of Ceara"
"801-900,Federal University of Pernambuco"
"801-900,Federal University of Rio Grande do Norte"
"801-900,Federal University of Santa Maria"
"801-900,Gachon University"
"801-900,Gazi University"
"801-900,Guangdong University of Technology"
"801-900,Guizhou University"
"801-900,Hallym University"
"801-900,Hangzhou Normal University"
"801-900,Haverford College"
"801-900,Indian Institutes of Science Education and Research (IISERs)"
"801-900,Iran University of Science & Technology"
"801-900,Isfahan University of Technology"
"801-900,Istanbul Technical University"
"801-900,ITMO University"
"801-900,Jawaharlal Nehru University"
"801-900,Kazan (Volga region) Federal University"
"801-900,Keele University"
"801-900,Kumamoto University"
"801-900,Lincoln University"
"801-900,Liverpool School of Tropical Medicine"
"801-900,London Business School"
"801-900,Manchester Metropolitan University"
"801-900,Mansoura University"
"801-900,Marche Polytechnic University"
"801-900,Miguel Hernandez University of Elche"
"801-900,Nanjing Forestry University"
"801-900,Nara Institute of Science and Technology"
"801-900,National Sun Yat-Sen University"
"801-900,National University of Colombia"
"801-900,National University of Cordoba"
"801-900,Niigata University"
"801-900,Northeast Normal University"
"801-900,Orebro University"
"801-900,Pablo de Olavide University"
"801-900,Portland State University"
"801-900,Prince of Songkla University"
"801-900,Quaid-i-Azam University"
"801-900,Rutgers University-Newark"
"801-900,Shandong University of Science Technology"
"801-900,Sichuan Agricultural University"
"801-900,Singapore University of Technology & Design"
"801-900,Sultan Qaboos University"
"801-900,The National University of Science and Technology MISiS"
"801-900,The University of Akron"
"801-900,Tomsk State University"
"801-900,Uniformed Services University of the Health Sciences - USA"
"801-900,Universidad Andrés Bello"
"801-900,Universite de Tunis El Manar"
"801-900,University of Agriculture Faisalabad"
"801-900,University of Alicante"
"801-900,University of Arkansas at Little Rock"
"801-900,University of Augsburg"
"801-900,University of Cagliari"
"801-900,University of Calabria"
"801-900,University of Cantabria"
"801-900,University of Concepcion"
"801-900,University of Extremadura"
"801-900,University of Girona"
"801-900,University of Ioannina"
"801-900,University of Jaen"
"801-900,University of Jinan"
"801-900,University of Kassel"
"801-900,University of Klagenfurt"
"801-900,University of Malaga"
"801-900,University of Messina"
"801-900,University of Mississippi"
"801-900,University of Nice Sophia Antipolis"
"801-900,University of Orleans"
"801-900,University of Paderborn"
"801-900,University of Savoy"
"801-900,University of South Africa"
"801-900,University of Tennessee Health Science Center"
"801-900,University of the Punjab"
"801-900,University of the Republic - Uruguay"
"801-900,University of the Sunshine Coast"
"801-900,University of Toledo"
"801-900,University of Udine"
"801-900,University of Urbino"
"801-900,University of Valladolid"
"801-900,Warsaw University of Technology"
"801-900,Yanshan University"
"801-900,Yunnan University"
"801-900,Zhejiang Normal University"
"901-1000,All India Institute of Medical Sciences"
"901-1000,Anhui Agricultural University"
"901-1000,Anhui University"
"901-1000,Anna University"
"901-1000,Augusta University"
"901-1000,Banaras Hindu University"
"901-1000,Beijing University of Chinese Medicine"
"901-1000,Bharathiar University"
"901-1000,Binghamton University"
"901-1000,Birkbeck, University of London"
"901-1000,Bond University"
"901-1000,Chang'an University"
"901-1000,Changzhou University"
"901-1000,City University London"
"901-1000,City University New York - Baruch College"
"901-1000,Clark University"
